#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
4380000,40599.99999807921,859.8405436714273,296.6073576913775,2744.0,0.020207834563842144,6.4e+03
4400000,40699.999998026826,882.7077714829181,294.1198139374327,2744.0,0.020207834563842144,6.4e+03
4420000,40799.99999797444,889.8489005599904,296.4494202797204,2744.0,0.020207834563842144,6.4e+03
4440000,40899.99999792205,952.7550101614795,296.12383917043223,2744.0,0.020207834563842144,6.4e+03
4460000,40999.999997869665,916.3664582594251,298.12098129998316,2744.0,0.020207834563842144,6.4e+03
4480000,41099.99999781728,937.6664834862672,299.73835648400006,2744.0,0.020207834563842144,6.4e+03
4500000,41199.99999776489,971.8233947303561,310.4189534186443,2744.0,0.020207834563842144,6.4e+03
4520000,41299.999997712504,895.5415770138218,289.54778366181523,2744.0,0.020207834563842144,6.4e+03
4540000,41399.99999766012,858.0262629979,300.36690782045207,2744.0,0.020207834563842144,6.4e+03
4560000,41499.99999760773,872.7046067658541,286.75074247189883,2744.0,0.020207834563842144,6.4e+03
4580000,41599.999997555344,831.1980640296358,299.53422852410665,2744.0,0.020207834563842144,6.4e+03
4600000,41699.99999750296,954.0554599413556,323.05082644711473,2744.0,0.020207834563842144,6.4e+03
4620000,41799.99999745057,865.4165856899784,287.8848686153939,2744.0,0.020207834563842144,6.4e+03
4640000,41899.99999739818,941.5334058777637,302.24403937502535,2744.0,0.020207834563842144,6.4e+03
4660000,41999.999997345796,798.2641187611728,305.4664026825181,2744.0,0.020207834563842144,6.4e+03
4680000,42099.99999729341,884.9878531641164,301.2433976186841,2744.0,0.020207834563842144,6.4e+03
4700000,42199.99999724102,736.2577210529711,305.31485577903516,2744.0,0.020207834563842144,6.4e+03
4720000,42299.999997188635,898.8140863417103,274.52131406334377,2744.0,0.020207834563842144,6.4e+03
4740000,42399.99999713625,933.4042279693342,298.7510713702914,2744.0,0.020207834563842144,6.4e+03
4760000,42499.99999708386,868.7963544230747,296.29220069008875,2744.0,0.020207834563842144,6.39e+03
4780000,42599.999997031475,876.938365891335,300.9233529002532,2744.0,0.020207834563842144,6.39e+03
4800000,42699.99999697909,884.4752706566685,311.179570489715,2744.0,0.020207834563842144,6.39e+03
4820000,42799.9999969267,879.6274693254045,297.3905527933612,2744.0,0.020207834563842144,6.39e+03
4840000,42899.999996874314,845.3867588911437,305.5551588594784,2744.0,0.020207834563842144,6.39e+03
4860000,42999.99999682193,871.4364157594604,314.28865716640695,2744.0,0.020207834563842144,6.39e+03
4880000,43099.99999676954,882.1130913330131,331.4479577457419,2744.0,0.020207834563842144,6.39e+03
4900000,43199.99999671715,909.5062627614074,299.4320126131236,2744.0,0.020207834563842144,6.39e+03
4920000,43299.99999666477,950.7636188224834,318.82136185289147,2744.0,0.020207834563842144,6.39e+03
4940000,43399.99999661238,987.731073304774,317.80694689819506,2744.0,0.020207834563842144,6.39e+03
4960000,43499.99999655999,924.8752738069813,294.5680776583587,2744.0,0.020207834563842144,6.39e+03
4980000,43599.999996507606,855.0946447660477,285.1105468703372,2744.0,0.020207834563842144,6.39e+03
5000000,43699.99999645522,895.3671106474446,300.38481826689923,2744.0,0.020207834563842144,6.39e+03
5020000,43799.99999640283,938.8708846811323,306.04040875279395,2744.0,0.020207834563842144,6.39e+03
5040000,43899.999996350445,941.0067461254896,292.07149169425344,2744.0,0.020207834563842144,6.39e+03
